prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
1130,227-DIP,,,FEU DE BOIS / WOOD FIRE,,https://leparfum.com.gr/en/elegants-fragrances/227-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1131,228-DIP,,,FEUILLE DE LAVANDE,,https://leparfum.com.gr/en/elegants-fragrances/228-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1132,229-DIP,,,Philosykos,,https://leparfum.com.gr/en/elegants-fragrances/229-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1133,230-DIP,,,OPOPANAX,,https://leparfum.com.gr/en/elegants-fragrances/230-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2050,231-DIP,,,Oud Palao,,https://leparfum.com.gr/en/elegants-fragrances/231-dip-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1134,232-ESCE,,,Escentric 01,,https://leparfum.com.gr/en/elegants-fragrances/232-esce-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1839,233-ESCE,,,Molecule 02,,https://leparfum.com.gr/en/elegants-fragrances/escentric-02-dupe-perfume,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1135,234-ESCE,,,Escentric 04,,https://leparfum.com.gr/en/elegants-fragrances/234-esce-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,235-HOLL,,,SOCAL,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,236-IND,,,ZUM FRANKINCENSE & MYRRH,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1145,237-JOM,,,A Shot Of Thai Over Mango - Jo Malone,,https://leparfum.com.gr/en/elegants-fragrances/237-jom-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1146,238-JOM,,,A Shot Of Oud Over Mango - Jo Malone,,https://leparfum.com.gr/en/elegants-fragrances/238-jom-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1147,239-JOM,,,Amber  Lavender,,https://leparfum.com.gr/en/elegants-fragrances/239-jom-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
