shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
1839-JOV,Jovoy Paris,Incident Diplomatique Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1838-TAU,Tauer,No-02-l-air-du-desert-marocain-eau-de-toilette-intense,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1837-KEI,Keiko Mecheri,Loukhoum Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1824-VAR,John Varvatos,Artisan,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1819-MIC,Michael Kors,Midnight Shimmer,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1814-AJMA,Ajmal,MIZYAAN - AJMAL,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1492-ABE,Abercrombie & Fitch,A&F BEACON - ABERCROMBIE & FITCH,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1794-ISS,Issey Miyake,L'Eau d'Issey Pure Nectar,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1784-ESC,Escada,Summer-festival-eau-de-toilette,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1780-RCAV,Roberto Cavalli,Just Cavalli,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1769-LTN,Louis Vuitton,the fragrance notes Roses,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1765-JEN,Jennifer Lopez,Miami Glow,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1748-BYR,Byredo,Marijuana,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1736-PRFRO,Profumum Roma,Arso,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1685-FRE,Frederic Malle,EN PASSANT Woman's perfume,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1656-LOC,L'Occitane,TERRE DE LUMIERE - L OCCITANE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1658-GUR,Guerlain,La Petite Robe Noire,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1660-ESCE,Escentric Molecules,Molecule 01,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1641-KHAL,Khaltat,Aloha Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1616-MDI,Parfums MDCI,Invasion Barbare Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1622-FRA,Franck Boclet,COCAINE-FRANCK BOCLET,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1627-CLIV,Clive Christian,VANILLA ORCHID XXI ART DECO - CLIVE CHRISTIAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1620-GUR,Guerlain,SPIRITUESE DOUBLE VANILLA,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
